Year,Operator,Location,AC Type,Passengers,Crew,Fatalities
1973,Libya Arab Airlines,Isma'iliya,Boeing B-727-224,104,9,108
1973,Aerovias Urraca,Cerro Horqueta,Douglas DC-3,25,3,22
1973,Aeroflot,Leningrad,Ilyushin IL-18,71,8,79
1973,Aeroflot,Semipalatinsk,Yakovlev YAK-40,29,3,32
1973,Merpati Nusantara Airlines,Nabire,de Havilland Canada DHC-6 Twin Otter 100,10,3,13
1973,Balkan Bulgarian Airlines,Moscow,Ilyushin IL-18V,17,8,25
1973,Lineas Aereas de Espana,Nantes,MD Douglas DC-9-32,166,16,68
1973,Indian Airlines,Hyderabad,HAL-748-224,0,3,3
1973,Air Vietnam,Ben Me Thuot,Douglas C-54D,57,5,62
1973,Invicta International Airlines,Basel,Vickers Vanguard 952,139,6,108
1973,U.S. Navy,Moffett AFB,Lockheed P-3C,0,17,16
1973,Bakhtar Afghan Airlines,Bamiyan,de Havilland Canada DHC-6 Twin Otter 100,16,3,4
1973,Aeroflot,Semipalatinsk,Ilyushin IL-18B,55,8,61
1973,Aeroflot,Chita,Tupolev TU-104A,72,9,81
1973,Cambodia Air,Svay Rieng,Douglas C-47A,9,2,11
1973,Air Gaspé,Rimouski,Douglas DC-3,1,3,4
1973,Indian Airlines,New Delhi,Boeing B-737-2A8,58,7,48
1973,Cruzeiro,Sao Luis,Sud Aviation SE-210 Caravelle VIN,16,7,23
1973,Aeroflot,Goussainville,Tupolev TU-144,0,6,6
1973,Varig,Rio de Janeiro,Boeing 707-327C,0,4,2
1973,Aeromexico,Puerto Vallarta,McDonnell Douglas DC-9-15,22,5,27
1973,Aeroflot,Amman,Tupolev TU-134A,78,8,2
1973,Aeroflot,Shakhtyorsk,Ilyushin IL-14,13,5,18
1973,Aeroflot,NKuybyshev,Tupolev TU-124V,54,7,2
1973,Varig,Paris,Boeing B-707-345C,117,17,123
1973,Pan American World Airways,Papeete,Boeing B-707-321B,69,10,78
1973,Ozark Air Lines,St. Louis,Fairchild-Hiller FH-227B,41,3,38
1973,Air Hawaii,Honolulu,Volpar C45G,4,1,5
1973,Delta Air Lines,Boston,McDonnell Douglas DC-9-31,83,6,89
1973,Aviaco Condor,La Coruña,Sud-Aviation Caravelle 10-R,79,6,85
1973,Private,Don Don,Norman BN-2A-6,9,1,10
1973,Aeroflot,Baku,Antonov AN-24V,60,4,56
1973,AVIANCA,El Yopal,Douglas DC-3,14,3,16
1973,Aerocondor Colombia,Bogota,Lockheed L-188A Electra,36,6,42
1973,Trans World Airlines,Los Angeles,Boeing B-707-331B,141,8,24
1973,U.S. Air Force,Huete,Lockheed C-141A,17,8,1
1973,World Airways,King Cove,McDonnell Douglas DC-8-63F,3,3,6
